line_number,datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min.temp,max.temp,niederschlag,bewoelkung,sonnenstunden,kommentar
0,2024-01-01,00:00,23.59,Arnulf,245,21,266,3.3,7.1,0.0,76,5.2,
1,2024-01-02,00:00,23.59,Arnulf,435,38,473,3.0,11.1,1.0,94,0.0,
2,2024-01-03,00:00,23.59,Arnulf,569,53,622,7.1,13.0,1.6,74,3.8,
3,2024-01-04,00:00,23.59,Arnulf,575,45,620,4.3,9.1,0.0,91,1.5,
4,2024-01-05,00:00,23.59,Arnulf,490,44,534,2.2,8.6,12.7,95,0.0,
5,2024-01-06,00:00,23.59,Arnulf,174,11,185,0.4,5.0,15.3,96,0.0,
6,2024-01-07,00:00,23.59,Arnulf,106,22,128,-4.0,0.5,7.3,94,0.0,
7,2024-01-08,00:00,23.59,Arnulf,235,18,253,-5.7,-2.9,0.0,94,0.0,
8,2024-01-09,00:00,23.59,Arnulf,195,24,219,-7.9,-4.5,0.0,53,4.0,
9,2024-01-10,00:00,23.59,Arnulf,209,10,219,-6.8,-3.4,0.0,95,4.5,
10,2024-01-11,00:00,23.59,Arnulf,285,24,309,-7.1,-4.7,0.0,100,0.0,
11,2024-01-12,00:00,23.59,Arnulf,346,36,382,-5.8,-2.6,0.0,68,6.5,
12,2024-01-13,00:00,23.59,Arnulf,165,11,176,-6.9,-3.7,0.0,99,0.0,
13,2024-01-14,00:00,23.59,Arnulf,168,12,180,-5.4,1.0,0.0,85,6.9,
14,2024-01-15,00:00,23.59,Arnulf,467,57,524,-2.9,1.8,1.7,75,1.5,
15,2024-01-16,00:00,23.59,Arnulf,411,28,439,-5.3,0.6,1.7,81,2.0,
16,2024-01-17,00:00,23.59,Arnulf,257,28,285,-5.2,8.8,9.7,96,0.0,
17,2024-01-18,00:00,23.59,Arnulf,492,38,530,-1.8,11.3,3.6,95,1.0,
18,2024-01-19,00:00,23.59,Arnulf,296,26,322,-5.4,-0.3,0.0,59,2.4,
19,2024-01-20,00:00,23.59,Arnulf,180,13,193,-8.6,1.5,0.0,8,8.8,
20,2024-01-21,00:00,23.59,Arnulf,168,12,180,-7.9,4.8,0.0,56,7.3,
21,2024-01-22,00:00,23.59,Arnulf,514,41,555,-2.7,10.8,5.3,88,0.4,
22,2024-01-23,00:00,23.59,Arnulf,659,51,710,3.3,7.5,2.2,79,2.1,
23,2024-01-24,00:00,23.59,Arnulf,747,66,813,6.0,14.2,3.0,98,0.5,
24,2024-01-25,00:00,23.59,Arnulf,944,71,1015,6.5,9.6,0.5,93,3.7,
25,2024-01-26,00:00,23.59,Arnulf,656,65,721,2.7,11.9,5.4,88,0.5,
26,2024-01-27,00:00,23.59,Arnulf,584,40,624,0.1,6.8,0.0,14,8.9,
27,2024-01-28,00:00,23.59,Arnulf,490,38,528,-1.8,10.3,0.0,9,9.1,
28,2024-01-29,00:00,23.59,Arnulf,880,74,954,-2.6,12.4,0.0,60,8.7,
29,2024-01-30,00:00,23.59,Arnulf,1153,70,1223,-1.5,14.1,0.0,88,7.8,
30,2024-01-31,00:00,23.59,Arnulf,1181,86,1267,2.8,11.7,0.0,68,5.4,
31,2024-02-01,00:00,23.59,Arnulf,794,72,866,4.5,8.4,5.5,91,0.0,
32,2024-02-02,00:00,23.59,Arnulf,831,69,900,3.9,9.2,0.1,98,0.0,
33,2024-02-03,00:00,23.59,Arnulf,663,45,708,5.7,13.3,0.3,31,9.1,
34,2024-02-04,00:00,23.59,Arnulf,477,46,523,5.4,11.0,0.2,99,1.5,
35,2024-02-05,00:00,23.59,Arnulf,1153,85,1238,5.4,14.6,0.0,61,7.7,
36,2024-02-06,00:00,23.59,Arnulf,1252,80,1332,4.3,11.8,0.0,70,9.3,
37,2024-02-07,00:00,23.59,Arnulf,1090,80,1170,5.0,11.1,1.6,83,3.8,
38,2024-02-08,00:00,23.59,Arnulf,1007,71,1078,6.9,13.3,0.1,99,0.6,
39,2024-02-09,00:00,23.59,Arnulf,853,60,913,7.7,13.1,0.0,94,0.3,
40,2024-02-10,00:00,23.59,Arnulf,603,37,640,4.8,14.5,1.7,99,0.1,
41,2024-02-11,00:00,23.59,Arnulf,286,29,315,4.0,9.8,2.4,96,0.0,
42,2024-02-12,00:00,23.59,Arnulf,827,70,897,4.4,9.5,1.4,96,1.3,
43,2024-02-13,00:00,23.59,Arnulf,899,76,975,3.5,9.7,0.0,79,7.3,
44,2024-02-14,00:00,23.59,Arnulf,983,85,1068,3.4,13.7,0.1,99,2.5,
45,2024-02-15,00:00,23.59,Arnulf,1158,75,1233,5.5,16.1,0.0,88,7.4,
46,2024-02-16,00:00,23.59,Arnulf,1017,86,1103,5.1,18.0,6.1,96,5.7,
47,2024-02-17,00:00,23.59,Arnulf,509,33,542,7.3,11.9,1.3,86,0.8,
48,2024-02-18,00:00,23.59,Arnulf,655,45,700,5.2,13.7,2.7,83,6.1,
49,2024-02-19,00:00,23.59,Arnulf,1056,115,1171,6.8,9.9,2.3,96,2.2,
50,2024-02-20,00:00,23.59,Arnulf,1009,100,1109,4.5,8.3,1.0,94,2.0,
51,2024-02-21,00:00,23.59,Arnulf,1408,118,1526,4.0,13.7,0.6,95,7.7,
52,2024-02-22,00:00,23.59,Arnulf,881,71,952,7.9,11.5,11.1,98,0.0,
53,2024-02-23,00:00,23.59,Arnulf,821,95,916,2.8,7.8,0.0,89,0.1,
54,2024-02-24,00:00,23.59,Arnulf,670,59,729,-0.3,8.7,0.0,71,6.5,
55,2024-02-25,00:00,23.59,Arnulf,625,54,679,3.4,11.9,0.0,49,8.1,
56,2024-02-26,00:00,23.59,Arnulf,1184,106,1290,1.5,12.9,0.0,96,3.9,
57,2024-02-27,00:00,23.59,Arnulf,1322,93,1415,3.0,8.0,0.0,99,1.1,
58,2024-02-28,00:00,23.59,Arnulf,1260,87,1347,4.5,6.4,0.0,99,0.0,
59,2024-02-29,00:00,23.59,Arnulf,1321,102,1423,2.8,9.4,0.0,66,3.1,
60,2024-03-01,00:00,23.59,Arnulf,971,94,1065,1.3,8.6,0.5,91,0.0,
61,2024-03-02,00:00,23.59,Arnulf,784,58,842,4.3,13.0,0.0,78,8.7,
62,2024-03-03,00:00,23.59,Arnulf,831,56,887,2.0,18.9,0.0,93,8.4,
63,2024-03-04,00:00,23.59,Arnulf,1196,109,1305,4.5,9.6,0.0,86,0.0,
64,2024-03-05,00:00,23.59,Arnulf,1201,95,1296,5.4,9.7,7.5,100,0.0,
65,2024-03-06,00:00,23.59,Arnulf,750,83,833,3.2,5.8,6.3,99,0.0,
66,2024-03-07,00:00,23.59,Arnulf,1383,107,1490,0.9,6.8,0.0,78,0.3,
67,2024-03-08,00:00,23.59,Arnulf,1133,94,1227,-0.4,9.9,0.0,25,8.8,
68,2024-03-09,00:00,23.59,Arnulf,905,67,972,-0.2,16.1,0.0,71,8.8,
69,2024-03-10,00:00,23.59,Arnulf,686,54,740,5.7,18.8,0.1,95,2.7,
70,2024-03-11,00:00,23.59,Arnulf,1336,123,1459,2.4,13.0,0.0,71,6.9,
71,2024-03-12,00:00,23.59,Arnulf,1260,106,1366,5.8,10.2,2.3,94,1.2,
72,2024-03-13,00:00,23.59,Arnulf,830,84,914,4.3,10.7,0.3,98,0.2,
73,2024-03-14,00:00,23.59,Arnulf,615,125,740,5.8,16.5,0.0,98,8.1,
74,2024-03-15,00:00,23.59,Arnulf,621,121,742,8.4,17.5,1.8,95,5.3,
75,2024-03-16,00:00,23.59,Arnulf,315,54,369,7.5,13.4,2.3,90,2.8,
76,2024-03-17,00:00,23.59,Arnulf,343,71,414,6.6,14.1,0.0,94,3.4,
77,2024-03-18,00:00,23.59,Arnulf,525,88,613,7.5,11.6,9.7,98,0.0,
78,2024-03-19,00:00,23.59,Arnulf,672,111,783,7.1,15.0,0.0,86,5.7,
79,2024-03-20,00:00,23.59,Arnulf,775,147,922,3.3,17.3,0.0,93,10.3,
80,2024-03-21,00:00,23.59,Arnulf,540,105,645,7.3,14.7,5.5,93,2.1,
81,2024-03-22,00:00,23.59,Arnulf,606,111,717,6.4,17.8,0.0,96,9.3,
82,2024-03-23,00:00,23.59,Arnulf,206,36,242,3.0,14.5,9.3,74,2.1,
83,2024-03-24,00:00,23.59,Arnulf,157,38,195,1.9,6.1,3.3,93,2.7,
84,2024-03-25,00:00,23.59,Arnulf,606,105,711,2.4,11.6,0.0,68,9.8,
85,2024-03-26,00:00,23.59,Arnulf,684,136,820,0.9,15.4,0.0,85,8.3,
86,2024-03-27,00:00,23.59,Arnulf,585,88,673,4.0,22.2,6.6,96,4.2,
87,2024-03-28,00:00,23.59,Arnulf,455,64,519,3.2,12.0,1.4,51,4.2,
88,2024-03-29,00:00,23.59,Arnulf,349,65,414,3.8,23.0,0.0,84,7.3,
89,2024-03-30,00:00,23.59,Arnulf,402,78,480,11.1,24.0,0.0,80,7.3,
90,2024-03-31,00:00,23.59,Arnulf,282,54,336,7.6,22.5,0.0,88,4.7,
91,2024-04-01,00:00,23.59,Arnulf,226,33,259,7.7,16.4,0.7,99,0.0,
92,2024-04-02,00:00,23.59,Arnulf,570,94,664,7.3,13.4,0.0,63,7.2,
93,2024-04-03,00:00,23.59,Arnulf,573,91,664,5.2,14.0,2.9,81,1.4,
94,2024-04-04,00:00,23.59,Arnulf,616,103,719,10.4,17.6,3.7,93,3.9,
95,2024-04-05,00:00,23.59,Arnulf,646,129,775,10.4,24.5,0.0,95,6.9,
96,2024-04-06,00:00,23.59,Arnulf,726,110,836,12.6,27.1,0.0,81,11.5,
97,2024-04-07,00:00,23.59,Arnulf,637,79,716,12.0,26.5,0.0,85,6.7,
98,2024-04-08,00:00,23.59,Arnulf,1172,139,1311,13.2,28.9,0.0,38,8.5,
99,2024-04-09,00:00,23.59,Arnulf,1294,117,1411,5.9,21.1,3.6,81,0.9,
100,2024-04-10,00:00,23.59,Arnulf,1163,88,1251,4.9,11.9,0.0,86,2.4,
101,2024-04-11,00:00,23.59,Arnulf,1675,143,1818,3.4,15.6,0.0,13,10.4,
102,2024-04-12,00:00,23.59,Arnulf,1704,111,1815,5.9,20.0,0.0,56,12.3,
103,2024-04-13,00:00,23.59,Arnulf,1750,123,1873,8.0,25.0,0.0,81,11.2,
104,2024-04-14,00:00,23.59,Arnulf,1535,139,1674,9.7,25.6,0.4,94,12.0,
105,2024-04-15,00:00,23.59,Arnulf,895,73,968,5.4,16.1,9.5,94,1.9,
106,2024-04-16,00:00,23.59,Arnulf,1098,94,1192,2.7,11.4,8.9,84,4.2,
107,2024-04-17,00:00,23.59,Arnulf,706,77,783,1.1,9.4,4.9,94,1.5,
108,2024-04-18,00:00,23.59,Arnulf,796,69,865,0.9,8.4,4.2,90,3.2,
109,2024-04-19,00:00,23.59,Arnulf,686,66,752,2.5,7.1,2.0,96,1.1,
110,2024-04-20,00:00,23.59,Arnulf,448,35,483,2.5,8.3,1.4,94,3.1,
111,2024-04-21,00:00,23.59,Arnulf,305,26,331,0.5,6.3,7.7,96,0.7,
112,2024-04-22,00:00,23.59,Arnulf,900,76,976,0.4,6.8,0.1,96,0.6,
113,2024-04-23,00:00,23.59,Arnulf,813,71,884,1.3,3.6,0.7,94,0.0,
114,2024-04-24,00:00,23.59,Arnulf,1026,92,1118,2.0,9.3,1.0,88,3.1,
115,2024-04-25,00:00,23.59,Arnulf,1181,84,1265,2.0,10.1,0.0,83,5.0,
116,2024-04-26,00:00,23.59,Arnulf,1267,87,1354,0.7,17.3,0.0,54,10.0,
117,2024-04-27,00:00,23.59,Arnulf,1556,110,1666,3.6,21.5,0.0,36,12.5,
118,2024-04-28,00:00,23.59,Arnulf,1420,112,1532,10.8,24.9,0.0,95,7.0,
119,2024-04-29,00:00,23.59,Arnulf,1838,90,1928,7.9,22.8,0.0,80,12.9,
120,2024-04-30,00:00,23.59,Arnulf,2307,144,2451,10.1,28.3,0.0,40,11.5,
121,2024-05-01,00:00,23.59,Arnulf,1491,76,1567,9.7,25.1,0.0,55,12.2,
122,2024-05-02,00:00,23.59,Arnulf,1651,100,1751,10.9,24.1,1.0,80,3.9,
123,2024-05-03,00:00,23.59,Arnulf,1074,97,1171,9.1,12.6,0.7,98,0.0,
124,2024-05-04,00:00,23.59,Arnulf,1379,91,1470,7.1,19.4,0.0,78,11.2,
125,2024-05-05,00:00,23.59,Arnulf,1109,107,1216,10.2,21.0,0.6,99,6.7,
126,2024-05-06,00:00,23.59,Arnulf,1219,81,1300,9.2,22.7,24.9,86,8.0,
127,2024-05-07,00:00,23.59,Arnulf,1350,87,1437,10.7,16.9,3.5,100,0.3,
128,2024-05-08,00:00,23.59,Arnulf,770,62,832,9.3,10.8,6.2,98,0.0,
129,2024-05-09,00:00,23.59,Arnulf,1142,68,1210,7.3,17.6,0.0,63,6.6,
130,2024-05-10,00:00,23.59,Arnulf,1557,105,1662,5.9,20.4,0.0,43,13.8,
131,2024-05-11,00:00,23.59,Arnulf,1359,53,1412,6.9,21.8,0.0,73,14.1,
132,2024-05-12,00:00,23.59,Arnulf,1326,78,1404,7.8,23.1,0.0,13,14.4,
133,2024-05-13,00:00,23.59,Arnulf,1876,125,2001,9.2,23.4,0.0,24,11.1,
134,2024-05-14,00:00,23.59,Arnulf,2112,121,2233,9.7,24.2,0.0,9,14.5,
135,2024-05-15,00:00,23.59,Arnulf,1718,83,1801,10.2,23.7,2.0,98,7.4,
136,2024-05-16,00:00,23.59,Arnulf,1743,136,1879,13.0,24.1,4.0,86,8.2,
137,2024-05-17,00:00,23.59,Arnulf,1123,83,1206,9.8,15.5,0.0,100,1.2,
138,2024-05-18,00:00,23.59,Arnulf,1264,93,1357,10.7,22.4,10.2,71,9.7,
139,2024-05-19,00:00,23.59,Arnulf,1014,81,1095,11.2,21.7,2.6,73,10.6,
140,2024-05-20,00:00,23.59,Arnulf,1133,83,1216,9.7,24.0,0.6,51,14.0,
141,2024-05-21,00:00,23.59,Arnulf,971,63,1034,12.2,22.7,5.8,99,0.1,
142,2024-05-22,00:00,23.59,Arnulf,1320,92,1412,11.8,19.7,1.3,85,5.3,
143,2024-05-23,00:00,23.59,Arnulf,1090,82,1172,9.3,21.3,16.8,86,4.6,
144,2024-05-24,00:00,23.59,Arnulf,1117,74,1191,8.8,19.1,8.7,88,8.0,
145,2024-05-25,00:00,23.59,Arnulf,954,65,1019,9.2,20.0,0.0,86,4.8,
146,2024-05-26,00:00,23.59,Arnulf,1201,90,1291,9.7,23.4,0.0,55,10.9,
147,2024-05-27,00:00,23.59,Arnulf,1302,88,1390,13.3,22.7,25.0,94,6.7,
148,2024-05-28,00:00,23.59,Arnulf,1041,85,1126,10.5,16.7,0.0,84,3.4,
149,2024-05-29,00:00,23.59,Arnulf,1387,86,1473,9.5,22.1,7.8,96,7.5,
150,2024-05-30,00:00,23.59,Arnulf,561,52,613,12.5,20.8,16.6,96,3.8,
151,2024-05-31,00:00,23.59,Arnulf,312,38,350,9.5,12.6,66.9,96,0.0,
152,2024-06-01,00:00,23.59,Arnulf,184,19,203,10.2,12.4,42.5,95,0.0,
153,2024-06-02,00:00,23.59,Arnulf,576,51,627,11.3,19.3,1.5,86,2.1,
154,2024-06-03,00:00,23.59,Arnulf,665,68,733,12.9,16.1,14.0,98,0.1,
155,2024-06-04,00:00,23.59,Arnulf,1850,113,1963,12.2,21.5,0.0,51,9.7,
156,2024-06-05,00:00,23.59,Arnulf,1995,107,2102,12.3,24.7,0.0,76,8.7,
157,2024-06-06,00:00,23.59,Arnulf,1983,110,2093,13.4,26.3,0.9,69,10.9,
158,2024-06-07,00:00,23.59,Arnulf,1439,92,1531,15.1,23.3,2.6,65,7.0,
159,2024-06-08,00:00,23.59,Arnulf,1218,80,1298,13.6,27.2,7.1,78,8.7,
160,2024-06-09,00:00,23.59,Arnulf,693,66,759,15.4,21.9,13.3,95,1.9,
161,2024-06-10,00:00,23.59,Arnulf,1165,81,1246,13.6,21.6,0.8,81,5.6,
162,2024-06-11,00:00,23.59,Arnulf,1413,89,1502,10.0,15.1,0.0,100,0.0,
163,2024-06-12,00:00,23.59,Arnulf,1876,102,1978,10.7,18.6,0.0,88,4.5,
164,2024-06-13,00:00,23.59,Arnulf,2029,109,2138,10.9,19.4,0.0,58,11.3,
165,2024-06-14,00:00,23.59,Arnulf,1785,92,1877,9.1,21.9,0.0,89,4.1,
166,2024-06-15,00:00,23.59,Arnulf,956,72,1028,13.3,19.3,0.1,96,2.3,
167,2024-06-16,00:00,23.59,Arnulf,1105,68,1173,13.5,23.2,0.3,83,5.4,
168,2024-06-17,00:00,23.59,Arnulf,1877,120,1997,13.6,27.6,2.9,94,7.9,
169,2024-06-18,00:00,23.59,Arnulf,2352,132,2484,14.5,30.3,0.0,70,14.1,
170,2024-06-19,00:00,23.59,Arnulf,2585,142,2727,18.3,30.0,0.0,30,14.7,
171,2024-06-20,00:00,23.59,Arnulf,1978,105,2083,16.6,26.0,0.0,71,6.7,
172,2024-06-21,00:00,23.59,Arnulf,1288,80,1368,13.6,24.3,21.0,96,2.8,
173,2024-06-22,00:00,23.59,Arnulf,1177,51,1228,12.2,23.9,18.1,76,8.7,
174,2024-06-23,00:00,23.59,Arnulf,1042,70,1112,11.9,22.2,0.0,68,5.3,
175,2024-06-24,00:00,23.59,Arnulf,2195,105,2300,15.0,26.0,0.0,20,14.0,
176,2024-06-25,00:00,23.59,Arnulf,2396,106,2502,15.9,27.7,0.0,11,15.3,
177,2024-06-26,00:00,23.59,Arnulf,1752,91,1843,16.4,27.7,9.1,85,7.4,
178,2024-06-27,00:00,23.59,Arnulf,1767,127,1894,16.3,26.7,0.0,76,7.5,
179,2024-06-28,00:00,23.59,Arnulf,1892,96,1988,19.9,30.0,0.0,63,12.4,
180,2024-06-29,00:00,23.59,Arnulf,1483,68,1551,18.6,33.7,0.0,55,10.1,
181,2024-06-30,00:00,23.59,Arnulf,1001,56,1057,16.3,25.5,0.1,98,2.1,
182,2024-07-01,00:00,23.59,Arnulf,1575,97,1672,14.3,23.7,8.3,95,5.1,
183,2024-07-02,00:00,23.59,Arnulf,1889,102,1991,12.4,19.5,3.5,94,2.5,
184,2024-07-03,00:00,23.59,Arnulf,926,64,990,11.3,18.0,7.0,98,1.9,
185,2024-07-04,00:00,23.59,Arnulf,1776,96,1872,11.4,22.3,0.6,96,4.6,
186,2024-07-05,00:00,23.59,Arnulf,1845,84,1929,14.7,25.3,0.0,90,10.8,
187,2024-07-06,00:00,23.59,Arnulf,1044,51,1095,15.7,32.0,17.6,73,9.2,
188,2024-07-07,00:00,23.59,Arnulf,471,32,503,12.9,16.6,6.7,100,0.0,
189,2024-07-08,00:00,23.59,Arnulf,1701,106,1807,15.5,24.0,0.3,66,7.7,
190,2024-07-09,00:00,23.59,Arnulf,2421,105,2526,14.6,30.5,0.5,50,13.7,
191,2024-07-10,00:00,23.59,Arnulf,1867,122,1989,19.6,29.0,1.6,71,8.2,
192,2024-07-11,00:00,23.59,Arnulf,2058,116,2174,18.4,27.9,0.7,81,6.0,
193,2024-07-12,00:00,23.59,Arnulf,1403,70,1473,16.5,26.6,6.3,98,6.4,
194,2024-07-13,00:00,23.59,Arnulf,1192,54,1246,15.9,20.0,0.0,96,2.7,
195,2024-07-14,00:00,23.59,Arnulf,1424,67,1491,15.1,27.3,0.0,85,8.3,
196,2024-07-15,00:00,23.59,Arnulf,2284,114,2398,15.4,31.5,12.8,73,14.0,
197,2024-07-16,00:00,23.59,Arnulf,1706,89,1795,17.8,26.5,0.7,50,2.4,
198,2024-07-17,00:00,23.59,Arnulf,2220,119,2339,16.0,22.6,0.0,89,0.6,
199,2024-07-18,00:00,23.59,Arnulf,2318,131,2449,15.0,27.4,0.0,34,13.4,
200,2024-07-19,00:00,23.59,Arnulf,2026,108,2134,17.0,30.1,0.0,71,12.1,
201,2024-07-20,00:00,23.59,Arnulf,1307,46,1353,18.0,28.7,10.9,76,6.5,
202,2024-07-21,00:00,23.59,Arnulf,1139,71,1210,16.7,30.5,6.9,44,10.7,
203,2024-07-22,00:00,23.59,Arnulf,1602,93,1695,17.3,25.3,3.6,80,4.6,
204,2024-07-23,00:00,23.59,Arnulf,2092,90,2182,16.1,25.6,6.5,85,6.8,
205,2024-07-24,00:00,23.59,Arnulf,2141,105,2246,16.2,23.5,0.0,63,9.7,
206,2024-07-25,00:00,23.59,Arnulf,2405,137,2542,13.9,25.8,0.0,54,12.5,
207,2024-07-26,00:00,23.59,Arnulf,1995,95,2090,14.2,28.1,0.0,88,14.1,
208,2024-07-27,00:00,23.59,Arnulf,1420,77,1497,17.0,31.9,6.4,64,12.4,
209,2024-07-28,00:00,23.59,Arnulf,940,44,984,14.0,24.1,3.4,58,7.1,
210,2024-07-29,00:00,23.59,Arnulf,2233,113,2346,12.5,26.7,0.0,0,14.7,
211,2024-07-30,00:00,23.59,Arnulf,2477,158,2635,13.0,30.3,0.0,25,14.3,
212,2024-07-31,00:00,23.59,Arnulf,2377,150,2527,17.8,33.3,5.0,31,12.1,
213,2024-08-01,00:00,23.59,Arnulf,2110,134,2244,18.0,28.4,3.2,75,9.2,
214,2024-08-02,00:00,23.59,Arnulf,1527,99,1626,17.9,24.6,21.7,76,6.2,
215,2024-08-03,00:00,23.59,Arnulf,1284,55,1339,15.9,26.5,4.4,90,6.5,
216,2024-08-04,00:00,23.59,Arnulf,1313,82,1395,16.8,25.1,0.0,94,6.8,
217,2024-08-05,00:00,23.59,Arnulf,1873,91,1964,15.9,24.8,0.2,78,6.5,
218,2024-08-06,00:00,23.59,Arnulf,2226,84,2310,14.6,29.0,0.0,16,14.3,
219,2024-08-07,00:00,23.59,Arnulf,1954,89,2043,17.8,27.9,4.4,60,8.0,
220,2024-08-08,00:00,23.59,Arnulf,1505,114,1619,16.6,24.5,4.8,85,2.8,
221,2024-08-09,00:00,23.59,Arnulf,1824,98,1922,14.4,27.7,0.0,73,12.6,
222,2024-08-10,00:00,23.59,Arnulf,1513,69,1582,19.1,29.3,0.0,36,11.8,
223,2024-08-11,00:00,23.59,Arnulf,1257,81,1338,17.0,31.3,0.0,26,13.8,
224,2024-08-12,00:00,23.59,Arnulf,1856,106,1962,18.4,31.7,0.0,79,11.0,
225,2024-08-13,00:00,23.59,Arnulf,1732,108,1840,18.9,32.6,1.2,35,10.9,
226,2024-08-14,00:00,23.59,Arnulf,1572,95,1667,17.1,31.0,4.1,53,10.9,
227,2024-08-15,00:00,23.59,Arnulf,1295,75,1370,16.7,28.2,0.0,51,13.1,
228,2024-08-16,00:00,23.59,Arnulf,1538,91,1629,19.0,29.8,0.5,69,9.3,
229,2024-08-17,00:00,23.59,Arnulf,1084,64,1148,19.1,26.1,2.4,90,5.1,
230,2024-08-18,00:00,23.59,Arnulf,432,38,470,16.3,21.9,54.5,96,0.3,
231,2024-08-19,00:00,23.59,Arnulf,632,54,686,14.6,17.0,5.7,98,0.0,
232,2024-08-20,00:00,23.59,Arnulf,1498,80,1578,15.7,20.1,0.0,78,1.0,
233,2024-08-21,00:00,23.59,Arnulf,1540,90,1630,12.5,22.2,0.4,88,4.6,
234,2024-08-22,00:00,23.59,Arnulf,1741,105,1846,11.2,24.4,0.0,69,12.3,
